feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1BG,0.0,0.22578442872648646,True,-0.047431953586186196,False
A1BG-AS1,0.0,0.22578442872648646,True,-0.047431953586186196,False
A1CF,0.0,0.24092861164609808,True,-0.04798344008371654,False
A2M,0.0,0.2714521798086867,True,-0.033329967814289464,False
A2M-AS1,0.0,0.2714521798086867,True,-0.033329967814289464,False
A2ML1,0.0,0.26965334205645813,True,-0.03572888213971347,False
A2MP1,0.0,0.2685604033765074,True,-0.03477142674545647,False
A3GALT2,0.0,0.20051506223452442,True,-0.04378177332810272,False
A4GALT,0.0,0.20799809542057313,True,-0.03221813325426544,False
A4GNT,0.0,0.2088181286493543,True,-0.04872349339969972,False
AA06,0.0,0.23716787578414109,True,-0.04178724377264685,False
AAAS,0.0,0.18817738456566702,True,-0.05059685165198812,False
AACS,0.0,0.1853401806633364,True,-0.03765121631264865,False
AACSP1,0.0,0.24684444766125102,True,-0.04749294772185958,False
AADAC,0.0,0.24910641145294724,True,-0.03912713500891637,False
AADACL2,0.0,0.22357668980488346,True,-0.04435640940820428,False
AADACL3,0.0,0.2222976369234319,True,-0.034679555190602396,False
AADACL4,0.0,0.22401865465741366,True,-0.03606196633852522,False
AADACP1,0.0,0.22519437739622417,True,-0.04366880311359627,False
AADAT,0.0,0.1962781013518422,True,-0.0236030612207967,False
AAGAB,0.0,0.17484899869131762,True,-0.046650689598027595,False
AAK1,0.0,0.16273680445507535,True,-0.06082366624443816,True
AAMDC,0.0,0.2845366616516533,True,-0.025811740059273818,False
AAMP,0.0,0.1577101193902929,False,-0.04883348735947794,False
AANAT,0.0,0.2200119459519516,True,-0.051144148010444354,False
AAR2,0.0,0.2944992880767817,True,-0.05307058589345951,True
AARD,0.0,0.3375790372702061,True,-0.043266203791441554,False
AARS,0.0,0.21394632281401968,True,-0.03699788726456591,False
AARS2,0.0,0.20610757056308596,True,-0.046544275240861584,False
AARSD1,0.0,0.19702477253497655,True,-0.043696432061510054,False
AASDH,0.0,0.21537326311673657,True,-0.023873222460852647,False
AASDHPPT,0.0,0.30090393131928006,True,-0.030526335640014134,False
AASS,0.0,0.29239022948092847,True,-0.04903519447032093,False
AATBC,0.0,0.187826387053766,True,-0.036747899089945024,False
AATF,0.0,0.22348512549569685,True,-0.03937173198206434,False
AATK,0.0,0.21421514816955395,True,-0.04847525259304143,False
ABAT,0.0,0.19227105198727426,True,-0.0208297037960162,False
ABCA1,0.0,0.20574887608006356,True,-0.04164232879356137,False
ABCA10,0.0,0.22423064891416752,True,-0.049778971074121756,False
ABCA11P,0.0,0.23269029414906803,True,-0.028087879874682278,False
ABCA12,0.0,0.16744294660896358,True,-0.04401824732726398,False
ABCA13,0.0,0.2838640153313477,True,-0.04931968355613869,False
ABCA17P,0.0,0.17931430058030715,True,-0.03869549797959777,False
ABCA2,0.06198347107438017,0.20459821896628763,True,,
ABCA3,0.0,0.1798823765928534,True,-0.03908293015841831,False
ABCA4,0.0,0.24273194112745392,True,-0.03308244904346316,False
ABCA5,0.0,0.22825591566209713,True,-0.04952667992061316,False
ABCA6,0.0,0.22505876502687874,True,-0.04983022940289635,False
ABCA7,0.0,0.18394659392600443,True,-0.034716589255200554,False
ABCA8,0.0,0.22726221517943368,True,-0.05013897830193267,False
ABCA9,0.0,0.22425596070320575,True,-0.0498817775313776,False
ABCB1,0.0,0.28110963482419854,True,-0.04554498291167842,False
ABCB10,0.0,0.21782859278504704,True,-0.051926263978715366,True
ABCB11,0.0,0.1509659918081824,False,-0.042094115920559935,False
ABCB4,0.0,0.2810551725185245,True,-0.045550698568210965,False
ABCB5,0.0,0.3076231833650978,True,-0.05163425722247187,False
ABCB6,0.0,0.1572058717416479,False,-0.05029931594224671,False
ABCB7,0.0,0.43729802392057743,True,-0.04274360256932611,False
ABCB8,0.0,0.297430402591298,True,-0.050688061404951586,False
ABCB9,0.0,0.18422923587370843,True,-0.04136672936352099,False
ABCC1,0.0,0.18583227592259438,True,-0.03384551261459508,False
ABCC10,0.0,0.22268629435845722,True,-0.04440114163781455,False
ABCC11,0.0,0.21309084664592717,True,-0.02289507694884278,False
ABCC12,0.0,0.212737557564932,True,-0.023777862083960537,False
ABCC13,0.0,0.3605448737073423,True,-0.01525270969249338,False
ABCC2,0.0,0.22742889133021954,True,-0.04515743864261929,False
ABCC3,0.0,0.23969760586866598,True,-0.04947040859624274,False
ABCC4,0.0,0.32959994084007793,True,-0.020342969773084633,False
ABCC5,0.0,0.27137572640525776,True,-0.04496472113113364,False
ABCC5-AS1,0.0,0.27163231230610135,True,-0.045120739360595845,False
ABCC6,0.0,0.18406528621364535,True,-0.03577159610114282,False
ABCC6P1,0.0,0.1791868026603109,True,-0.03739304515396125,False
ABCC6P2,0.06198347107438017,0.19774050854101,True,,
ABCC8,0.0,0.21535066812989823,True,-0.046173676781398436,False
ABCC9,0.0,0.2976437707829446,True,-0.03226110270904641,False
ABCD1,0.0,0.454852737706932,True,-0.036560384404244785,False
ABCD2,0.0,0.2406715289640791,True,-0.033323039234085326,False
ABCD3,0.0,0.239474057513653,True,-0.03478507748261972,False
ABCD4,0.0,0.2373901403847633,True,-0.050095362517193265,False
ABCE1,0.0,0.16767535786320475,True,,
ABCF2,0.0,0.29975582161323683,True,-0.04813472242281011,False
ABCF3,0.0,0.2728327635686326,True,-0.04498196667100448,False
ABCG1,0.0,0.23171964779457638,True,-0.013234019762697292,False
ABCG2,0.0,0.16982189360892938,True,,
ABCG4,0.0,0.2731687560231439,True,-0.04498516616556801,False
ABCG5,0.0,0.1922758477826113,True,-0.053766315256989154,True
ABCG8,0.0,0.1924823550717051,True,-0.05390246935764054,True
ABHD1,0.0,0.16613135733332196,True,-0.04812182273436404,False
ABHD10,0.0,0.21089331237340506,True,-0.04461929285985388,False
ABHD11,0.0,0.259201104907185,True,-0.045809815139675296,False
ABHD11-AS1,0.0,0.259201104907185,True,-0.045809815139675296,False
ABHD12,0.0,0.3118556386540976,True,-0.03893961490353772,False
ABHD12B,0.0,0.23138058734520156,True,-0.03742220390608555,False
ABHD13,0.0,0.33535667049727796,True,-0.026987002325493042,False
ABHD14A,0.0,0.24682061785085507,True,-0.04756945584645575,False
ABHD14A-ACY1,0.0,0.24682061785085507,True,-0.04756945584645575,False
ABHD14B,0.0,0.24682061785085507,True,-0.047513488971653424,False
ABHD15,0.0,0.24701470473988738,True,-0.05473385746191783,True
ABHD16B,0.0,0.31762003562927865,True,-0.05506431086656383,True
ABHD17A,0.0,0.17482226173540902,True,-0.03203421961983928,False
ABHD17B,0.0,0.21702647070581246,True,-0.02791478848010593,False
ABHD17C,0.0,0.1908244772492244,True,-0.048536771064571466,False
ABHD18,0.0,0.1644820226824036,True,,
ABHD2,0.0,0.21567112791115062,True,-0.03652280875395725,False
ABHD3,0.0,0.19788635122257642,True,-0.02533290667956412,False
ABHD4,0.0,0.24094438036613192,True,-0.046083520514314316,False
ABHD5,0.0,0.23555643725482237,True,-0.05058372562951943,False
ABHD6,0.0,0.24726515343526456,True,-0.04471774473972699,False
ABHD8,0.0,0.18106627602515232,True,-0.04995964074906453,False
ABI1,0.0,0.28497139437384084,True,-0.03335858397522947,False
ABI2,0.0,0.16146043352961786,True,-0.04568492181226628,False
ABI3,0.0,0.2500339197441179,True,-0.055090379455630126,True
ABI3BP,0.0,0.2107819984434692,True,-0.04130591949319542,False
ABL1,0.0,0.19874322252407975,True,-0.0484756107777308,False
ABL2,0.0,0.1997077989650192,True,-0.05102260798656106,False
ABLIM1,0.0,0.23091586366200312,True,-0.0367779258441813,False
ABLIM2,0.0,0.22311054517998924,True,-0.033023993662443255,False
ABLIM3,0.0,0.2079357966264839,True,-0.05278887021169739,True
ABO,0.0,0.1967892529464049,True,-0.048761949637272824,False
ABR,0.0,0.27469267929162355,True,-0.0299221923943594,False
ABRA,0.0,0.3099042656080405,True,-0.04343856953642385,False
