feature,na_percent,variance,selected_cleanup,laplacian_score,selected_laplacian
A1BG-AS1,,,,0.07860233727783152,False
A1CF,0.0,0.7507956694974248,True,-0.00348031671210256,True
A2M,0.0,2.4705045816430578,True,0.03068684125202774,False
A2M-AS1,,,,0.09651321072715875,False
A2ML1,,,,0.08647874627369799,False
A4GALT,0.0,0.11285058754178492,True,0.07507002937240054,False
A4GNT,0.0,0.027380002006847953,True,0.10394534354431181,False
AAAS,0.0,0.2568226031216448,True,0.09350399890751836,False
AACS,0.0,0.6493180914498895,True,0.06021873326222956,False
AACSP1,,,,0.11663225614297393,False
AADAC,0.0,0.5009152319981586,True,0.0520706909759778,False
AADACL2,,,,0.15012223281319031,False
AADACP1,,,,0.0666589211506265,False
AADAT,,,,0.06607659109965913,False
AAGAB,0.0,0.14581537996735777,True,0.09375813853727948,False
AAK1,0.0,0.05012612279752732,True,0.07926781006852064,False
AAMDC,0.0,0.3765882636005902,True,0.07875500065679762,False
AAMP,0.0,0.25182138692296413,True,0.0942228978748836,False
AANAT,0.0,0.05457020650915999,True,0.06349958203566818,False
AAR2,0.0,0.2450439815987984,True,0.10443006254513085,False
AARS1,0.0,0.6422566951265695,True,0.07845302130228396,False
AARS2,,,,0.06809243530814285,False
AASDH,,,,0.10479073010614735,False
AASDHPPT,0.0,0.45533915383442536,True,0.0736809298078618,False
AASS,0.0,0.3774777603735969,True,0.061767684551326196,False
AATBC,,,,0.07572178879591135,False
AATF,0.0,0.299535981033834,True,0.06672317333538909,False
AATK,0.0,0.1796825020482131,True,0.07140724457568287,False
ABAT,0.0,1.1286420660554057,True,0.05920208006715513,False
ABCA1,0.0,1.4962653159124981,True,0.06751467433476815,False
ABCA11P,0.0,0.24745351030917917,True,0.1003114372705122,False
ABCA12,0.0,0.3116672963878397,True,0.04968555624054928,False
ABCA13,,,,0.06085060530635029,False
ABCA17P,,,,0.10233090496958588,False
ABCA2,0.0,0.11745013343474875,True,0.06652949804190962,False
ABCA3,0.0,1.0818125046584748,True,0.02663775397537397,False
ABCA4,0.0,0.277260503765033,True,0.08126184257614509,False
ABCA5,0.0,0.7663931491758981,True,0.059410181000291495,False
ABCA6,0.0,0.08148724568939503,True,0.05381623946462483,False
ABCA7,0.0,0.2861632690045332,True,0.05274271908070509,False
ABCA8,0.0,0.8600155422709612,True,0.07090465261614314,False
ABCA9,,,,0.06286105875100008,False
ABCB1,0.0,1.6325294015311735,True,0.06310163255885662,False
ABCB10,,,,0.06740523358305825,False
ABCB11,0.0,0.01475845182081039,False,0.1485372399599231,False
ABCB4,0.0,0.5972437983312137,True,0.0437119944696377,False
ABCB5,,,,0.03844769218473727,False
ABCB7,0.0,0.4781007216100158,True,0.058782936387574994,False
ABCB8,0.0,0.07281075794946978,True,0.08986859371004663,False
ABCB9,0.0,0.11827669529664099,True,0.08914047548656312,False
ABCC1,0.0,0.6100520577041445,True,0.0712844051320398,False
ABCC10,0.0,0.6050571898731203,True,0.07667681225890666,False
ABCC11,,,,0.06089580874350339,False
ABCC12,,,,0.11902776726675472,False
ABCC13,,,,0.09169926288199515,False
ABCC2,0.0,1.4107015295076855,True,0.045149746645842384,False
ABCC3,0.0,3.544670237079952,True,0.002102833076233537,True
ABCC4,0.0,1.393223931323852,True,0.05673113493110664,False
ABCC5,0.0,0.8025514113993574,True,0.06052313965508133,False
ABCC6,0.0,0.09020468154282327,True,0.05630961610859255,False
ABCC8,0.0,0.4753686709668903,True,0.040064005237495155,False
